"Name","Tier","Type","Difficulty","Major_Threshold","Severe_Threshold","HP","Stress","Attack_Modifier","Attack_Range","Damage_Dice","Experiences","Features","Description","Motives_Tactics"
"Acid Burrower","1","Solo","14","8","15","8","3","3","Melee","1d12+2 phy","[{""name"":""Tremor Sense"",""value"":2}]","[{""name"":""Earth Eruption"",""description"":""Mark a Stress to have the Burrower burst out of the ground. All creatures within Very Close range must succeed on an Agility Reaction Roll or be knocked over, making them Vulnerable until they next act.""},{""name"":""Spit Acid"",""description"":""Make an attack against all targets in front of the Burrower within Close range. Targets the Burrower succeeds against take 2d6 physical damage and must mark an Armor Slot without receiving its benefits (they can still use armor to reduce the damage). If they can't mark an Armor Slot, they must mark an additional HP and you gain a Fear.""},{""name"":""Acid Bath"",""description"":""When the Burrower takes Severe damage, all creatures within Close range are bathed in their acidic blood, taking 1d10 physical damage. This splash covers the ground within Very Close range with blood, and all creatures other than the Burrower who move through it take 1d6 physical damage.""}]","This splash covers the ground within Very Close range with blood, and all creatures other than the Burrower who move through it take 1d6 physical damage.","BurrowerPage 210"
"Adult Flickerfly","3","Solo","17","20","35","12","6","3","Melee","3d20 phy","","[{""name"":""Never Misses"",""description"":""When the Flickerfly makes an attack, the target's Evasion is halved against the attack.""},{""name"":""Deadly Flight"",""description"":""While flying, the Flickerfly can move up to Far range instead of Close range before taking an action.""},{""name"":""Whirlwind"",""description"":""Spend a Fear to whirl, making an attack against all targets within Very Close range. Targets the Flickerfly succeeds against take 3d8 direct physical damage.""},{""name"":""Mind Dance"",""description"":""Mark a Stress to create a magically dazzling display that grapples the minds of nearby foes. All targets within Close range must make an Instinct Reaction Roll. For each target who failed, you gain a Fear and the Flickerfly learns one of the target's fears.""},{""name"":""Hallucinatory Breath"",""description"":""Countdown (Loop 1d6). When the Flickerfly takes damage for the first time, activate the countdown. When it triggers, the Flickerfly breathes hallucinatory gas on all targets in front of them up to Far range. Targets must make an Instinct Reaction Roll or become overwhelmed by fearful hallucinations. Targets whose fears are known to the Flickerfly have disadvantage on this roll. Targets who fail lose 2 Hope and take 3d8+3 direct magic damage.""},{""name"":""Uncanny Reflexes"",""description"":""When the Flickerfly takes damage from an attack within Close range, you can mark a""}]","Uncanny Reflexes—Reaction: When the Flickerfly takes damage from an attack within Close range, you can mark a Stress to take half damage.","ult FlickerflyPage 228Errata"
"Apprentice Assassin","2","Minion","13",,,"1","1","1","Melee","4 phy","[{""name"":""Intrusion"",""value"":2}]","[{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Apprentice Assassins within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 4 physical damage each.""}]","Combine this damage.","Apprentice AssassinPage 220"
"Arch-Necromancer","4","Leader","21","33","66","9","8","6","Melee","4d12+8 mag","[{""name"":""Forbidden Knowledge"",""value"":3},{""name"":""Wisdom of Centuries"",""value"":3}]","[{""name"":""Dance of Death"",""description"":""Mark a Stress to spotlight 1d4 allies. Attacks they make while spotlighted in this way deal half damage, or full damage if you spend a Fear.""},{""name"":""Beam of Decay"",""description"":""Mark 2 Stress to cause all targets within Far range to make a Strength Reaction Roll. Targets who fail take 2d20+12 magic damage and you gain a Fear. Targets who succeed take half damage. A target who marks 2 or more HP must also mark 2 Stress and becomes Vulnerable until they roll with Hope.""},{""name"":""Open the Gates of Death"",""description"":""pend a Fear to summon a Zombie Legion, which appears at Close range and immediately takes the spotlight.Not Today,""},{""name"":""My Dears"",""description"":""When the Necromancer has marked 7 or more of their HP, you can spend a Fear to have them teleport away to a safe location to recover. A PC who succeeds on an Instinct Roll can trace the teleportation magic to their destination.""},{""name"":""Your Life is Mine"",""description"":""Countdown (Loop 2d6). When the Necromancer has marked 6 or more of their HP, activate the countdown. When it triggers, deal 2d10+6 direct magic damage to a target within Close range.""}]","Arch-NecromancerPage 234","Arch-NecromancerPage 234"
"Archer Guard","1","Ranged","10","4","8","3","2","1","Melee","1d8+3 phy","[{""name"":""Local Knowledge"",""value"":3}]","[{""name"":""Hobbling Shot"",""description"":""Make an attack against a target within Far range. On a success, mark a Stress to deal 1d12+3 physical damage. If the target marks HP from this attack, they have disadvantage on Agility Rolls until they clear at least 1""}]","Archer GuardPage 212","Page 212"
"Archer Squadron","2","Horde","13","8","16","4","3","0","Melee","2d6+3 phy","","[{""name"":""Focused Volley"",""description"":""Spend a Fear to target a point within Far range. Make an attack with advantage against all targets within Close range of that point. Targets the Squadron succeeds against take 1d10+4 physical damage.""},{""name"":""Suppressing Fire"",""description"":""Mark a Stress to target a point within Far range. Until the next roll with Fear, a creature who moves within Close range of that point must make an Agility Reaction Roll. On a failure, they take 2d6+3 physical damage. On a success, they take half damage.""}]","On a success, they take half damage.","ronPage 220"
"Assassin Poisoner","2","Skulk","14","8","16","4","4","3","Melee","2d8+1 phy","[{""name"":""Intrusion"",""value"":2}]","[{""name"":""Grindeloth Venom"",""description"":""Targets who mark HP from the Assassin's attacks are Vulnerable until they clear a HP.""},{""name"":""Out of Nowhere"",""description"":""The Assassin has advantage on attacks if they are Hidden.""},{""name"":""Fumigation"",""description"":""Drop a smoke bomb that fills the air within Close range with smoke, Dizzying all targets in this area. Dizzied targets have disadvantage on their next action roll, then clear the condition.""}]","Dizzied targets have disadvantage on their next action roll, then clear the condition.","Assassin PoisonerPage 220"
"Battle Box","2","Solo","15","10","20","8","6","2","Melee","2d6+3 phy","[{""name"":""Camouflage"",""value"":2}]","[{""name"":""Randomized Tactics"",""description"":""Mark a Stress and roll a d6. The Box uses the corresponding move:Mana Beam: The Box fires a searing beam. Make an attack against a target within Far range. On a success, deal 2d10+2 magic damage.Fire Jets: The Box shoots into the air, spinning and releasing jets of flame. Make an attack against all targets within Close range. Targets the Box succeeds against take 2d8 physical damage.Trample: The Box rockets around erratically. Make an attack against all PCs within Close range. Targets the Box succeeds against take 1d6+5 physical damage and are Vulnerable until their next roll with Hope.Shocking Gas: The Box sprays out a silver gas sparking with lightning. All targets within Close range must succeed on a Finesse Reaction Roll or mark 3 Stress.Stunning Clap: The Box leaps and their sides clap, creating a concussive boom. All targets within Very Close range must succeed on a Strength Reaction Roll or become Vulnerable until the cube is defeated.Psionic Whine: The Box releases a cluster of mechanical bees whose buzz rattles mortal minds. All targets within Close range must succeed on a Presence Reaction Roll or take 2d4+9 direct magic damage.""},{""name"":""Overcharge"",""description"":""Before rolling damage for the Box's attack, you can mark a Stress to add a d6 to the damage roll. Additionally, you gain a Fear.""},{""name"":""Death Quake"",""description"":""When the Box marks their last HP, the magic powering them ruptures in an explosion of force. All targets within Close range must succeed on an Instinct Reaction Roll or take 2d8+1 magic damage.""}]","All targets within Close range must succeed on an Instinct Reaction Roll or take 2d8+1 magic damage.","Battle BoxPage 221"
"Bear","1","Bruiser","14","9","17","7","2","1","Melee","1d8+3 phy","[{""name"":""Ambusher"",""value"":3},{""name"":""Keen Senses"",""value"":2}]","[{""name"":""Overwhelming Force"",""description"":""Targets who mark HP from the Bear's standard attack are knocked back to Very Close range.""},{""name"":""Bite"",""description"":""Mark a Stress to make an attack against a target within Melee range. On a success, deal 3d4+10 physical damage and the target is Restrained until they break free with a successful Strength Roll.""},{""name"":""Momentum"",""description"":""When the Bear makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Bear makes a successful attack against a PC, you gain a Fear.","BearPage 210"
"Bladed Guard","1","Standard","12","5","9","5","2","1","Melee","1d6+1 phy","[{""name"":""Local Knowledge"",""value"":3}]","[{""name"":""Shield Wall"",""description"":""A creature who tries to move within Very Close range of the Guard must succeed on an Agility Roll. If additional Bladed Guards are standing in a line alongside the first, and each is within Melee range of another guard in the line, the Difficulty increases by the total number of guards in the line.""},{""name"":""Detain"",""description"":""Make an attack against a target within Very Close range. On a success, mark a Stress to Restrain the target until they break free with a successful attack, Finesse Roll, or""}]","On a success, mark a Stress to Restrain the target until they break free with a successful attack, Finesse Roll, or Strength Roll.","Page 212"
"Brawny Zombie","1","Bruiser","10","8","15","7","4","2","Melee","1d12+3 phy","[{""name"":""Collateral Damage"",""value"":2},{""name"":""Throw"",""value"":4}]","[{""name"":""Slow"",""description"":""When you spotlight the Zombie and they don't have a token on their stat block, they can't act yet. Place a token on their stat block and describe what they're preparing to do. When you spotlight the Zombie and they have a token on their stat block, clear the token and they can act.""},{""name"":""Rend Asunder"",""description"":""Make a standard attack with advantage against a target the Zombie has Restrained. On a success, the attack deals direct damage.""},{""name"":""Rip and Tear"",""description"":""When the Zombies makes a successful standard attack, you can mark a Stress to temporarily Restrain the target and force them to mark 2""}]","Rip and Tear—Reaction: When the Zombies makes a successful standard attack, you can mark a Stress to temporarily Restrain the target and force them to mark 2 Stress.","Brawny ZombiePage 219"
"Cave Ogre","1","Solo","13","8","15","8","3","1","Melee","1d10+2 phy","[{""name"":""Throw"",""value"":2}]","[{""name"":""Ramp Up"",""description"":""You must spend a Fear to spotlight the Ogre. While spotlighted, they can make their standard attack against all targets within range.""},{""name"":""Bone Breaker"",""description"":""The Ogre's attacks deal direct damage.""},{""name"":""Hail of Boulders"",""description"":""Mark a Stress to pick up heavy objects and throw them at all targets in front of the Ogre within Far range. Make an attack against these targets. Targets the Ogre succeeds against take 1d10+2 physical damage. If they succeed against more than one target, you gain a Fear.""},{""name"":""Rampaging Fury"",""description"":""When the Ogre marks 2 or more HP, they can rampage. Move the Ogre to a point within Close range and deal 2d6+3 direct physical damage to all targets in their path.""}]","Move the Ogre to a point within Close range and deal 2d6+3 direct physical damage to all targets in their path.","Cave OgrePage 210"
"Chaos Skull","2","Ranged","15","8","16","5","4","2","Melee","2d8+3 mag","","[{""name"":""Levitation"",""description"":""The Skull levitates several feet off the ground and can't be Restrained.""},{""name"":""Wards"",""description"":""The Skull is resistant to magic damage.""},{""name"":""Magic Burst"",""description"":""Mark a Stress to make an attack against all targets within Close range. Targets the Skull succeeds against take 2d6+4 magic damage.""},{""name"":""Siphon Magic"",""description"":""Spend a Fear to make an attack against a PC with a Spellcast trait within Very Close range. On a success, the target marks 1d4 Stress and the Skull clears that many Stress. Additionally, on a success, the""}]","Additionally, on a success, the Skull can immediately be spotlighted again.","Chaos SkullPage 221"
"Conscript","2","Minion","12",,,"1","1","0","Melee","6 phy","","[{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Conscripts within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 6 physical damage each.""}]","Combine this damage.","ConscriptPage 221"
"Construct","1","Solo","13","7","15","9","4","4","Melee","1d20 phy","","[{""name"":""Weak Structure"",""description"":""When the Construct marks HP from physical damage, they must mark an additional HP.""},{""name"":""Trample"",""description"":""Mark a Stress to make an attack against all targets in the Construct's path when they move. Targets the Construct succeeds against take 1d8 physical damage.""},{""name"":""Overload"",""description"":""Before rolling damage for the Construct's attack, you can mark a Stress to gain a +10 bonus to the damage roll. The Construct can then take the spotlight again.""},{""name"":""Death Quake"",""description"":""When the Construct marks their last HP, the magic powering them ruptures in an explosion of force. Make an attack with advantage against all targets within Very Close range. Targets the Construct succeeds against take 1d12+2 magic damage.""}]","Targets the Construct succeeds against take 1d12+2 magic damage.","ConstructPage 210"
"Courtesan","2","Social","13","7","13","3","4","2","Melee","1d4+3","[{""name"":""Manipulation"",""value"":3},{""name"":""Socialite"",""value"":3}]","[{""name"":""Searing Glance"",""description"":""When a PC within Close range makes a Presence Roll, you can mark a Stress to cast a gaze toward the aftermath. On the target's failure, they must mark 2 Stress and are Vulnerable until the scene ends or they succeed on a social action against the Courtesan. On the target's success, they must mark a""}]","On the target's success, they must mark a Stress.","CourtesanPage 221"
"Courtier","1","Social","12","4","8","3","4","0","Melee","1d4+1","[{""name"":""Socialite"",""value"":3}]","[{""name"":""Mockery"",""description"":""Mark a Stress to say something mocking and force a target within Close range to make a Presence Reaction Roll (14) to see if they can save face. On a failure, the target must mark 2 Stress and is Vulnerable until the scene ends.""},{""name"":""Scapegoat"",""description"":""Spend a Fear and target a PC.""}]","The Courtier convinces a crowd or prominent individual that the target is the cause of their current conflict or misfortune.",""
"Cult Adept","2","Support","14","9","18","4","6","2","Melee","2d4+3 mag","[{""name"":""Fallen Lore"",""value"":2},{""name"":""Rituals"",""value"":2}]","[{""name"":""Enervating Blast"",""description"":""Spend a Fear to make a standard attack against a target within range. On a success, the target must mark a Stress.""},{""name"":""Shroud of the Fallen"",""description"":""Mark a Stress to wrap an ally within Close range in a shroud of Protection until the Adept marks their last HP. While Protected, the target has resistance to all damage.""},{""name"":""Shadow Shackles"",""description"":""Spend a Fear and choose a point within Far range. All targets within Close range of that point are Restrained in smoky chains until they break free with a successful Strength or Instinct Roll. A target Restrained by this feature must spend a Hope to make an action roll.""},{""name"":""Fear Is Fuel"",""description"":""Twice per scene, when a PC rolls a failure with Fear, clear a""}]","Fear Is Fuel—Reaction: Twice per scene, when a PC rolls a failure with Fear, clear a Stress.","eptPage 222"
"Cult Fang","2","Skulk","15","9","17","4","4","2","Melee","2d8+4 phy","","[{""name"":""Embrace"",""description"":""The Fang can climb and walk on vertical surfaces. Mark a Stress to move from one shadow to another within Far range.""},{""name"":""Pick Off the Straggler"",""description"":""Mark a Stress to cause a target within Melee range to make an Instinct Reaction Roll. On a failure, the target must mark 2 Stress and is teleported with the Fang to a shadow within Far range, making them temporarily Vulnerable. On a success, the target must mark a""}]","On a success, the target must mark a Stress.","Cult FangPage 222"
"Cult Initiate","2","Minion","13",,,"1","1","0","Melee","5 phy","","[{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Cult Initiates within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 5 physical damage each.""}]","Combine this damage.","Cult InitiatePage 222"
"Deeproot Defender","1","Bruiser","10","8","14","7","3","2","Melee","1d8+3 phy","[{""name"":""Huge"",""value"":3}]","[{""name"":""Ground Slam"",""description"":""Slam the ground, knocking all targets within Very Close range back to Far range. Each target knocked back by this must mark a Stress.""},{""name"":""Grab and Drag"",""description"":""Make an attack against a target within Close range. On a success, spend a Fear to pull them into Melee range, deal 1d6+2 physical damage, and""}]","On a success, spend a Fear to pull them into Melee range, deal 1d6+2 physical damage, and Restrain them until the Defender takes Severe damage.","erPage 211"
"Demon of Avarice","3","Support","17","1","29","6","5","2","Melee","3d6+5 mag","[{""name"":""Manipulation"",""value"":3}]","[{""name"":""Money Talks"",""description"":""Attacks against the Demon are made with disadvantage unless the attacker spends a handful of gold. This Demon starts with a number of handfuls equal to the number of PCs. When a target marks HP from the Demon's standard attack, they can spend a handful of gold instead of marking HP (1 handful per HP). Add a handful of gold to the Demon for each handful of gold spent by PCs on this feature.""},{""name"":""Numbers Must Go Up"",""description"":""Add a bonus to the Demon's attack rolls equal to the number of handfuls of gold they have.""},{""name"":""Money is Time"",""description"":""Spend 3 handfuls of gold (or a Fear) to spotlight 1d4+1 allies.""}]","Money is Time—Action: Spend 3 handfuls of gold (or a Fear) to spotlight 1d4+1 allies.","emon of AvaricePage 228"
"Demon of Despair","3","Skulk","17","18","35","6","5","3","Melee","3d6+4 mag","[{""name"":""Manipulation"",""value"":3}]","[{""name"":""Depths of Despair"",""description"":""The Demon deals double damage to PCs with 0 Hope.""},{""name"":""Your Struggle Is Pointless"",""description"":""Spend a Fear to weigh down the spirits of all PCs within Far range. All targets affected replace their Hope Die with a d8 until they roll a success with Hope or their next rest.""},{""name"":""Your Friends Will Fail You"",""description"":""When a PC fails with Fear, you can mark a Stress to cause all other PCs within Close range to lose a Hope.""},{""name"":""Momentum"",""description"":""When the Demon makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Demon makes a successful attack against a PC, you gain a Fear.","espairPage 228"
"Demon of Hubris","3","Leader","19","20","36","7","5","4","Melee","3d10 phy","[{""name"":""Manipulation"",""value"":2}]","[{""name"":""Terrifying"",""description"":""When the Demon makes a successful attack, all PCs within Far range must lose a Hope and you gain a Fear.""},{""name"":""Double or Nothing"",""description"":""When a PC within Far range fails a roll, they can choose to reroll their Fear Die and take the new result. If they still fail, they mark 2 Stress and the Demon clears a Stress.""},{""name"":""Unparalleled Skill"",""description"":""Mark a Stress to deal the Demon's standard attack damage to a target within Close range.""},{""name"":""The Root of Villainy"",""description"":""Spend a Fear to spotlight two other Demons within Far range.""},{""name"":""You Pale in Comparison"",""description"":""When a PC fails a roll within Close range of the Demon, they must mark a""}]","You Pale in Comparison—Reaction: When a PC fails a roll within Close range of the Demon, they must mark a Stress.","emon of HubrisPage 229"
"Demon of Jealousy","3","Ranged","17","17","30","6","6","4","Melee","3d8+3 mag","[{""name"":""Manipulation"",""value"":3}]","[{""name"":""Unprotected Mind"",""description"":""The Demon's standard attack deals direct damage.""},{""name"":""My Turn"",""description"":""When the Demon marks HP from an attack, spend a number of Fear equal to the HP marked by the Demon to cause the attacker to mark the same number of HP.""},{""name"":""Rivalry"",""description"":""hen a creature within Close range takes damage from a different adversary, you can mark a Stress to add a d4 to the damage roll.What's""},{""name"":""Yours Is Mine"",""description"":""When a PC takes severe damage within Very Close range of the Demon, you can spend a Fear to cause the target to make a Finesse Reaction Roll. On a failure, the Demon seizes one item or consumable of their choice from the target's inventory.""}]","On a failure, the Demon seizes one item or consumable of their choice from the target's inventory.","emon of JealousyPage 229"
"Demon of Wrath","3","Bruiser","17","2","40","7","5","3","Melee","3d8+1 mag","[{""name"":""Intimidation"",""value"":2}]","[{""name"":""Anger Unrelenting"",""description"":""The Demon's attacks deal direct damage.""},{""name"":""Battle Lust"",""description"":""Spend a Fear to boil the blood of all PCs within Far range. They use a d20 as their Fear Die until the end of the scene.""},{""name"":""Retaliation"",""description"":""When the Demon takes damage from an attack within Close range, you can mark a Stress to make a standard attack against the attacker.""},{""name"":""Blood and Souls"",""description"":""Countdown (Loop 6). Activate the first time an attack is made within sight of the Demon. It ticks down when a PC takes a violent action. When it triggers, summon 1d4 Minor Demons, who appear at""}]","When it triggers, summon 1d4 Minor Demons, who appear at Close range.","emon of WrathPage 229"
"Demonic Hound Pack","2","Horde","15","11","23","6","3","0","Melee","2d8+2 phy","[{""name"":""Scent Tracking"",""value"":3}]","[{""name"":""Dreadhowl"",""description"":""Mark a Stress to make all targets within Very Close range lose a Hope. If a target is not able to lose a Hope, they must instead mark 2 Stress.""},{""name"":""Momentum"",""description"":""When the Pack makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Pack makes a successful attack against a PC, you gain a Fear.","PackPage 222"
